department,code,classNumber,name,division,type,professors,level,credit,courseTime,class,size,isLiberalArts,updatedAt
BS,2101,1,유기화학 I,필수,교과,서지원,학사,3/0/3,화 10:30~12:00/목 10:30~12:00,,0,FALSE,
BS,2101,2,유기화학 II,필수,교과,리자오지에,학사,3/0/3,화 14:30~16:00/목 14:30~16:00,,0,,
BS,2102,1,분자생물학,필수,교과,김영준/심해홍/조정희,학사,3/0/3,월 10:30~12:00/수 10:30~12:00,,0,,
BS,3105,1,세포생물학,필수,교과,송미령/송우근/전창덕,학사,3/0/3,월 10:30~12:00/수 10:30~12:00,,,,
BS,3112,1,세포·발생생물학 실험,필수,교과,김준영/진석원,학사,1/4/3,화 13:00~18:00,,,,
BS,3112,2,세포·발생생물학 실험,필수,교과,김준영/진석원,학사,1/4/3,금 13:00~18:00,,,,
BS,3201,1,미생물학,선택,교과,박대호,학사,3/0/3,화 10:30~12:00/목 10:30~12:00,,,,
BS,3204,1,생물물리 화학 입문,선택,교과,이광록,학사,3/0/3,화 09:00~10:30/목 09:00~10:30,,,,
BS,4201,1,발생생물학,선택,교과,조정희/진석원,학사,3/0/3,화 10:30~12:00/목 10:30~12:00,,,,
BS,4207,1,암생물학 개론,선택,교과,다런윌리엄스,학사,3/0/3,화 09:00~10:30/목 09:00~10:30,,,,
BS,4213,1,의학 면역화학,선택,교과,송우근,학사,3/0/3,월 19:00~22:00,,,,
BS,4216,1,단백질과 생명과학,선택,교과,유영준,학사,3/0/3,월 16:00~17:30/수 16:00~17:30,,,,
BS,4218,1,리보핵산생물학,선택,교과,심해홍,학사,3/0/3,화 16:00~17:30/목 16:00~17:30,,,,
BS,9101,1,학사논문연구,연구,논문연구,,학사,0/0/3,,,,,
BS,9102,1,학사논문연구 I,연구,논문연구,,학사,0/0/3,,,,,
BS,9103,1,학사논문연구 II,연구,논문연구,,학사,0/0/3,,,,,
CH,2101,1,분석화학,필수,교과,임현섭,학사,3/0/3,월 10:30~12:00/수 10:30~12:00,,,,
CH,2102,1,물리화학A,필수,교과,방윤수,학사,3/1/3,화 09:00~10:30/수 17:30~18:30/목 09:00~10:30,,,,
CH,2103,1,유기화학 I,필수,교과,서지원,학사,3/0/3,화 10:30~12:00/목 10:30~12:00,,,,
CH,2103,2,유기화학 I,필수,교과,리자오지에,학사,3/0/3,화 14:30~16:00/목 14:30~16:00,,,,
CH,3104,1,물리화학 II,필수,교과,방윤수,학사,3/1/3,화 09:00~10:30/수 17:30~18:30/목 09:00~10:30,,,,
CH,3106,1,생화학 I,필수,교과,박진주,학사,3/0/3,월 09:00~10:30/수 09:00~10:30,,,,
CH,3107,1,무기화학,필수,교과,서준혁,학사,3/0/3,월 13:00~14:30/수 13:00~14:30,,,,
CH,3207,1,고급화학실험,선택,교과,김정욱/방윤수/이강택,학사,1/4/3,월 16:00~17:00/화 13:00~17:00/수 16:00~17:00,,,,
CH,3207,2,고급화학실험,선택,교과,최준호/함혜진,학사,1/4/3,월 16:00~17:00/수 16:00~17:00/금 13:00~17:00,,,,
CH,4212,1,양자화학,선택,교과,최준호,학사,3/0/3,화 10:30~12:00/목 10:30~12:00,,,,
CH,4219,1,생화학 II,선택,교과,김정욱,학사,3/0/3,월 14:30~16:00/수 14:30~16:00,,,,
CH,9101,1,학사논문연구,연구,논문연구,,학사,0/0/3,,,,,
CH,9102,1,학사논문연구 I,연구,논문연구,,학사,0/0/3,,,,,
CH,9103,1,학사논문연구 II,연구,논문연구,,학사,0/0/3,,,,,
CT,4101,1,아이디어와 디지털 표현,선택,교과,곽성조,학사,1/4/3,수 16:00~18:00/목 09:00~12:00,,,,
CT,4201,1,컴퓨터 그래픽스,선택,교과,문보창,학사,3/0/3,월 10:30~12:00/수 10:30~12:00,,,,
CT,4301,1,인간-컴퓨터 상호작용,선택,교과,김승준,학사,3/0/3,수 09:00~10:30/금 09:00~10:30,,,,
EC,2105,1,공학전자기학 I,선택,교과,정현호,학사,3/0/3,화 09:00~10:30/목 09:00~10:30,,,,
EC,2202,1,자료 구조,선택,교과,공진석,학사,3/0/3,월 10:30~12:00/수 10:30~12:00,,,,
EC,2202,2,자료 구조,선택,교과,남호정,학사,3/0/3,화 10:30~12:00/목 10:30~12:00,,,,
EC,2203,1,디지털 설계,선택,교과,브라이언 도리얼,학사,3/0/3,월 13:00~14:30/수 13:00~14:30,,,,
EC,2203,2,디지털 설계,선택,교과,공진석,학사,3/0/3,화 09:00~10:30/목 09:00~10:30,,,,
EC,3102,1,컴퓨터 시스템 이론 및 실험,필수,교과,김병돈/김종원,학사,2/4/4,화 09:00~10:00/화 13:00~17:00/목 09:00~10:00,,,,
EC,3102,2,컴퓨터 시스템 이론 및 실험,필수,교과,김병돈/김종원,학사,2/4/4,화 09:00~10:00/수 13:00~17:00/목 09:00~10:00,,,,
EC,3102,3,컴퓨터 시스템 이론 및 실험,필수,교과,김병돈/김종원,학사,2/4/4,화 09:00~10:00/목 13:00~17:00/목 09:00~10:00,,,,
EC,3102,4,컴퓨터 시스템 이론 및 실험,필수,교과,김병돈/김종원,학사,2/4/4,화 09:00~10:00/목 09:00~10:00/금 13:00~17:00,,,,
EC,3202,1,신호 및 시스템,선택,교과,전해곤,학사,3/0/3,월 10:30~12:00/수 10:30~12:00,,,,
EC,3207,1,전자회로,선택,교과,홍성민,학사,3/0/3,월 09:00~10:30/수 09:00~10:30,,,,
EC,3216,1,오토마타 이론,선택,교과,안창욱,학사,3/0/3,월 13:00~14:30/수 13:00~14:30,,,,
